title,story,num_episodes,show_start,series_type,genres,picture
12-sai.: Chicchana Mune no Tokimeki 2nd Season | العُمر 12 خفقان القلب الصغير الجزء الثاني,"تكملة لأحداث موسم سابق والذي تدور أحداثه حول فتاة في عمر الزهور ومخاوفها البريئة حول الحب. الأسماء البديلة :Age 12., Juuni-sai. الاسم باليابانية :12歳。～ちっちゃなムネのトキメキ～ الاسم بالعربية :سن 12.: جوني ساي الموسم الثانى",12.0,2016.0,TV,"رومانسي, شوجو, مدرسي",https://animeslayer.space/wp-content/uploads/2021/01/25-9.jpg
12Isekai wa Smartphone to Tomo ni. 2,قصة انمي Isekai wa Smartphone to Tomo ni. 2 تأتي استكمالا لأحداث الموسم السابق.,12.0,2023.0,TV,"فنتازيا, حريم, مغامرات, رومانسي, كوميدي",https://animeslayer.space/wp-content/uploads/2023/04/131464.webp
16bit Sensation: Another Layer,“كرس شبابك لتطوير لعبة بيشوجو رائعة تجعل اللاعبين يقعون في الحب!“ “أوهارا ميكو“، طالبة جامعية بدأت العمل بدوام جزئي في متجر كمبيوتر في عام 1992. ومع ذلك، خلف الكواليس، كان المتجر صانع ألعاب شهوانية مثيرة متخصص في ألعاب بيشوجو (لعبة فتاة جميلة). “ميكو” هي فنانة موهوبة، وتم تعيينها فجأة كمصممة جرافيك بديلة بعد فرار الموظف، وعلى الرغم من أنها لم ترسم أي صورة للبالغين R-18 من قبل! هل ستكون قادرة على إكمال هذه المهمة بنجاح ؟! مع جهاز كمبيوتر 16 بت كشريك لها، تبدأ حياتها المهنية كفنانة.,,2023.0,TV,كوميدي,https://animeslayer.space/wp-content/uploads/2023/10/Ashampoo_Snap_2023.10.04_14h01m20s_008_.webp
18if,تدور قصة أنمي 18if حول الزوجين سورا وتشيساتو اللذان يقضيان أوقاتهما معًا ويقوم سورا بتحضير أكثر المشروبات الكحولية المفضلة لدى تشيساتو الأسماء البديلة :18 If الاسم باليابانية :18if الاسم بالإنجليزية :18if,13.0,2017.0,TV,"مغامرات, خارق للعادة",https://animeslayer.space/wp-content/uploads/2021/01/2-13.jpg
2.43: Seiin Koukou Danshi Volley-bu | فتيان نادي الكرة الطائرة لثانوية سيين,قصة انمي 2.43: Seiin Koukou Danshi Volley-bu تدور حول طالب ينتقل من مدينة طوكيو إلى محافظة فوكوي بسبب بعض المشاكل الخطيرة في فريق كرة الطائرة للمرحلة المتوسطة..,12.0,2021.0,TV,"رياضي, مدرسي",https://animeslayer.space/wp-content/uploads/2021/01/5DF4G54FHK6J5SDFDGHJFH.png
22/7,"في أحد الأيام، تلقت “تاكيغاوا ميو” فجأة رسالة تخبرها أنها اختيرت كعضوة في مشروع فرقة جديدة. توجهت إلى الموقع المذكور في الرسالة مترددة. لتجد هناك سبع فتيات أخريات تم استدعاءهن هناك بنفس الطريقة. تقف الفتيات في حيرة بعد أن قيل لهن إنهم سيظهرن لأول مرة كمجموعة فنانات رائدة. نوع جديد من الفن، لم يسبق له مثيل، على وشك أن يولد هنا… اسماء آخرى : Nanabun no Nijyuuni, Nanabun no Nijuuni",12.0,2020.0,TV,موسيقي,https://animeslayer.space/wp-content/uploads/2020/09/Anime4up_2020.01.01_16h40m34s_002_.png
3-gatsu no Lion | شهر مارس يأتي كالأسد,القصة تتحدث عن ري و هو لاعب شوغي يبلغ من العمر 17 عاما و هو يعيش وحيدا من دون عائلة و لايذهب الى المدرسة و ليس لديه اي صديق عدا عائلة تتألف من المَرأة الشابة اكاري واثنين من الفتيات الصغيرات، مومو وهيناتا، الذين يملكون عددا من القطط. الأسماء البديلة :Sangatsu no Lion الاسم باليابانية :3月のライオン الاسم بالإنجليزية :March comes in like a lion الاسم بالعربية :يأتي مارس مثل أسد,22.0,2016.0,TV,"دراما, شريحة من الحياة, سينين, العاب",https://animeslayer.space/wp-content/uploads/2021/01/24-10.jpg
3D Kanojo: Real Girl 2nd Season,قصة أنمي 3D Kanojo: Real Girl 2nd Season تأتي استكمالًا لقصة الموسم الأول. اسماء بديلة : 3D Girlfriend 2nd Season,12.0,2019.0,TV,"مدرسي, شوجو",https://animeslayer.space/wp-content/uploads/2020/09/Ashampoo_Snap_2019.03.15_10h16m38s_002_.png
4-nin wa Sorezore Uso wo Tsuku,قصة انمي 4-nin wa Sorezore Uso wo Tsuku كل فتاة لديها سر واحد على الأقل. “ريكا“، “تشيو“، “سيكين“، و”تسوباسا“، هم أربعة أصدقاء جيدين في نفس الفصل. لكن كل واحدة منهم لديها أسرار سخيفة…,11.0,2022.0,TV,"كوميدي, شريحة من الحياة, شونين",https://animeslayer.space/wp-content/uploads/2022/10/Ashampoo_Snap_2022.10.15_21h06m59s_002_.webp
5-toubun no Hanayome ∬ | 5 عرائس للزواج الموسم الثاني | الخماسية المتماثلة الموسم الثاني | غو توبون نو هانايومي ني | دي فايف ويديد برايدس سكند سيزن,قصة انمي 5-toubun no Hanayome ∬ تتمة لاحداث الموسم السابق.,12.0,2021.0,TV,"حريم, كوميدي, رومانسي, مدرسي, شونين",https://animeslayer.space/wp-content/uploads/2021/01/54ER54G89K56SDF6S5DFDGH.png
